title,budget,budget_squared,revenue,runtime,vote_average,year,main_genre
The Golden Compass,180000000,32400000000000000,372234864,113.0,5.8,2007,Adventure
King Kong,207000000,42849000000000000,550000000,187.0,6.6,2005,Adventure
Titanic,200000000,40000000000000000,1845034188,194.0,7.5,1997,Drama
Captain America: Civil War,250000000,62500000000000000,1153304495,147.0,7.1,2016,Adventure
Battleship,209000000,43681000000000000,303025485,131.0,5.5,2012,Thriller
Jurassic World,150000000,22500000000000000,1513528810,124.0,6.5,2015,Action
Skyfall,200000000,40000000000000000,1108561013,143.0,6.9,2012,Action
Spider-Man 2,200000000,40000000000000000,783766341,127.0,6.7,2004,Action
Iron Man 3,200000000,40000000000000000,1215439994,130.0,6.8,2013,Action
Alice in Wonderland,200000000,40000000000000000,1025491110,108.0,6.4,2010,Family
X-Men: The Last Stand,210000000,44100000000000000,459359555,104.0,6.3,2006,Adventure
Monsters University,200000000,40000000000000000,743559607,104.0,7.0,2013,Animation
Transformers: Revenge of the Fallen,150000000,22500000000000000,836297228,150.0,6.0,2009,Science Fiction
Transformers: Age of Extinction,210000000,44100000000000000,1091405097,165.0,5.8,2014,Science Fiction
Oz: The Great and Powerful,200000000,40000000000000000,491868548,130.0,5.7,2013,Fantasy
The Amazing Spider-Man 2,200000000,40000000000000000,705717432,142.0,6.5,2014,Action
TRON: Legacy,170000000,28900000000000000,400062763,125.0,6.3,2010,Adventure
Cars 2,200000000,40000000000000000,559852396,106.0,5.8,2011,Animation
Green Lantern,200000000,40000000000000000,219851172,114.0,5.1,2011,Adventure
Toy Story 3,200000000,40000000000000000,1066969703,103.0,7.6,2010,Animation
Terminator Salvation,200000000,40000000000000000,371353001,115.0,5.9,2009,Action
Furious 7,190000000,36100000000000000,1506249360,137.0,7.3,2015,Action
World War Z,200000000,40000000000000000,531865000,116.0,6.7,2013,Action
X-Men: Days of Future Past,250000000,62500000000000000,747862775,131.0,7.5,2014,Action
Star Trek Into Darkness,190000000,36100000000000000,467365246,132.0,7.4,2013,Action
Jack the Giant Slayer,195000000,38025000000000000,197687603,114.0,5.5,2013,Action
The Great Gatsby,105000000,11025000000000000,351040419,143.0,7.3,2013,Drama
Prince of Persia: The Sands of Time,150000000,22500000000000000,335154643,116.0,6.2,2010,Adventure
Pacific Rim,180000000,32400000000000000,407602906,131.0,6.7,2013,Action
Transformers: Dark of the Moon,195000000,38025000000000000,1123746996,154.0,6.1,2011,Action
Indiana Jones and the Kingdom of the Crystal Skull,185000000,34225000000000000,786636033,122.0,5.7,2008,Adventure
The Good Dinosaur,175000000,30625000000000000,331926147,93.0,6.6,2015,Adventure
Brave,185000000,34225000000000000,538983207,93.0,6.7,2012,Animation
Star Trek Beyond,185000000,34225000000000000,343471816,122.0,6.6,2016,Action
WALL·E,180000000,32400000000000000,521311860,98.0,7.8,2008,Animation
Rush Hour 3,140000000,19600000000000000,258022233,91.0,6.1,2007,Action
2012,200000000,40000000000000000,769653595,158.0,5.6,2009,Action
A Christmas Carol,200000000,40000000000000000,325233863,96.0,6.6,2009,Animation
Jupiter Ascending,176000003,30976001056000009,183987723,124.0,5.2,2015,Science Fiction
The Legend of Tarzan,180000000,32400000000000000,356743061,109.0,5.5,2016,Action
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,32400000000000000,748806957,143.0,6.7,2005,Adventure
X-Men: Apocalypse,178000000,31684000000000000,543934787,144.0,6.4,2016,Science Fiction
The Dark Knight,185000000,34225000000000000,1004558444,152.0,8.2,2008,Drama
Up,175000000,30625000000000000,735099082,96.0,7.7,2009,Animation
Monsters vs Aliens,175000000,30625000000000000,381509870,94.0,6.0,2009,Animation
Iron Man,140000000,19600000000000000,585174222,126.0,7.4,2008,Action
Hugo,170000000,28900000000000000,185770160,126.0,7.0,2011,Adventure
Wild Wild West,170000000,28900000000000000,222104681,106.0,5.1,1999,Action
The Mummy: Tomb of the Dragon Emperor,145000000,21025000000000000,401128639,112.0,5.2,2008,Adventure
Suicide Squad,175000000,30625000000000000,745000000,123.0,5.9,2016,Action
Evan Almighty,175000000,30625000000000000,173000000,96.0,5.3,2007,Fantasy
Edge of Tomorrow,178000000,31684000000000000,370541256,113.0,7.6,2014,Action
Waterworld,175000000,30625000000000000,264218220,135.0,5.9,1995,Adventure
G.I. Joe: The Rise of Cobra,175000000,30625000000000000,302469017,118.0,5.6,2009,Adventure
Inside Out,175000000,30625000000000000,857611174,94.0,8.0,2015,Drama
The Jungle Book,175000000,30625000000000000,966550600,106.0,6.7,2016,Family
Iron Man 2,200000000,40000000000000000,623933331,124.0,6.6,2010,Adventure
Snow White and the Huntsman,170000000,28900000000000000,396600000,127.0,5.8,2012,Adventure
Maleficent,180000000,32400000000000000,758539785,97.0,7.0,2014,Fantasy
Dawn of the Planet of the Apes,170000000,28900000000000000,710644566,130.0,7.3,2014,Science Fiction
47 Ronin,175000000,30625000000000000,150962475,119.0,5.9,2013,Drama
Captain America: The Winter Soldier,170000000,28900000000000000,714766572,136.0,7.6,2014,Action
Shrek Forever After,165000000,27225000000000000,752600867,93.0,6.0,2010,Comedy
Tomorrowland,190000000,36100000000000000,209154322,130.0,6.2,2015,Adventure
Big Hero 6,165000000,27225000000000000,652105443,102.0,7.8,2014,Adventure
Wreck-It Ralph,165000000,27225000000000000,471222889,108.0,7.1,2012,Family
The Polar Express,165000000,27225000000000000,305875730,100.0,6.4,2004,Adventure
Independence Day: Resurgence,165000000,27225000000000000,389681935,120.0,4.9,2016,Action
How to Train Your Dragon,165000000,27225000000000000,494878759,98.0,7.5,2010,Fantasy
Terminator 3: Rise of the Machines,200000000,40000000000000000,435000000,109.0,5.9,2003,Action
Guardians of the Galaxy,170000000,28900000000000000,773328629,121.0,7.9,2014,Action
Interstellar,165000000,27225000000000000,675120017,169.0,8.1,2014,Adventure
Inception,160000000,25600000000000000,825532764,148.0,8.1,2010,Action
Shin Godzilla,15000000,225000000000000,77000000,120.0,6.5,2016,Action
The Hobbit: An Unexpected Journey,250000000,62500000000000000,1021103568,169.0,7.0,2012,Adventure
The Fast and the Furious,38000000,1444000000000000,207283925,106.0,6.6,2001,Action
The Curious Case of Benjamin Button,150000000,22500000000000000,333932083,166.0,7.3,2008,Fantasy
X-Men: First Class,160000000,25600000000000000,353624124,132.0,7.1,2011,Action
The Hunger Games: Mockingjay - Part 2,160000000,25600000000000000,653428261,137.0,6.6,2015,Action
The Sorcerer's Apprentice,150000000,22500000000000000,215283742,109.0,5.8,2010,Fantasy
Poseidon,160000000,25600000000000000,181674817,99.0,5.5,2006,Adventure
Alice Through the Looking Glass,170000000,28900000000000000,299370084,113.0,6.5,2016,Fantasy
Shrek the Third,160000000,25600000000000000,798958165,93.0,6.0,2007,Fantasy
Warcraft,160000000,25600000000000000,433677183,123.0,6.3,2016,Action
Terminator Genisys,155000000,24025000000000000,440603537,126.0,5.8,2015,Science Fiction
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,24025000000000000,415686217,113.0,6.2,2010,Adventure
Pearl Harbor,140000000,19600000000000000,449220945,183.0,6.6,2001,History
Transformers,150000000,22500000000000000,709709780,144.0,6.6,2007,Adventure
Alexander,155000000,24025000000000000,167298192,175.0,5.6,2004,War
Harry Potter and the Order of the Phoenix,150000000,22500000000000000,938212738,138.0,7.4,2007,Adventure
Harry Potter and the Goblet of Fire,150000000,22500000000000000,895921036,157.0,7.5,2005,Adventure
Hancock,150000000,22500000000000000,624029371,92.0,6.2,2008,Fantasy
I Am Legend,150000000,22500000000000000,585349010,101.0,6.9,2007,Drama
Charlie and the Chocolate Factory,150000000,22500000000000000,474968763,115.0,6.7,2005,Adventure
Ratatouille,150000000,22500000000000000,623722818,111.0,7.5,2007,Animation
Batman Begins,150000000,22500000000000000,374218673,140.0,7.5,2005,Action
Madagascar: Escape 2 Africa,150000000,22500000000000000,603900354,89.0,6.2,2008,Family
Night at the Museum: Battle of the Smithsonian,150000000,22500000000000000,413106170,105.0,5.9,2009,Adventure
X-Men Origins: Wolverine,150000000,22500000000000000,373062864,107.0,6.2,2009,Adventure
The Matrix Revolutions,150000000,22500000000000000,424988211,129.0,6.4,2003,Adventure
Frozen,150000000,22500000000000000,1274219009,102.0,7.3,2013,Animation
The Matrix Reloaded,150000000,22500000000000000,738599701,138.0,6.7,2003,Adventure
Thor: The Dark World,170000000,28900000000000000,644571402,112.0,6.8,2013,Action
Mad Max: Fury Road,150000000,22500000000000000,378858340,120.0,7.2,2015,Action
Angels & Demons,150000000,22500000000000000,356613439,138.0,6.5,2009,Thriller
Thor,150000000,22500000000000000,449326618,115.0,6.6,2011,Adventure
Bolt,150000000,22500000000000000,309979994,98.0,6.3,2008,Animation
G-Force,150000000,22500000000000000,292817841,88.0,5.1,2009,Fantasy
Wrath of the Titans,150000000,22500000000000000,301000000,99.0,5.5,2012,Adventure
Dark Shadows,150000000,22500000000000000,245527149,113.0,5.7,2012,Comedy
Mission: Impossible - Rogue Nation,150000000,22500000000000000,682330139,131.0,7.1,2015,Action
Bee Movie,150000000,22500000000000000,287594577,91.0,5.7,2007,Family
Kung Fu Panda 2,150000000,22500000000000000,665692281,91.0,6.7,2011,Animation
The Last Airbender,150000000,22500000000000000,318502923,103.0,4.7,2010,Action
Mission: Impossible III,150000000,22500000000000000,397850012,126.0,6.5,2006,Adventure
White House Down,150000000,22500000000000000,205366737,131.0,6.4,2013,Action
Mars Needs Moms,150000000,22500000000000000,38992758,88.0,5.5,2011,Adventure
Flushed Away,149000000,22201000000000000,64459316,85.0,6.0,2006,Adventure
Pan,150000000,22500000000000000,128388320,111.0,5.9,2015,Adventure
Mr. Peabody & Sherman,145000000,21025000000000000,272912430,92.0,6.7,2014,Animation
Troy,175000000,30625000000000000,497409852,163.0,6.9,2004,Adventure
Madagascar 3: Europe's Most Wanted,145000000,21025000000000000,746921274,93.0,6.4,2012,Animation
Die Another Day,140000000,19600000000000000,431971116,133.0,5.8,2002,Adventure
Ghostbusters,144000000,20736000000000000,229147509,116.0,5.3,2016,Action
Armageddon,140000000,19600000000000000,553799566,151.0,6.4,1998,Action
Men in Black II,140000000,19600000000000000,441818803,88.0,6.0,2002,Action
Beowulf,70000000,4900000000000000,195735876,115.0,5.5,2007,Adventure
Kung Fu Panda 3,145000000,21025000000000000,521170825,95.0,6.7,2016,Action
Mission: Impossible - Ghost Protocol,145000000,21025000000000000,694713380,133.0,6.8,2011,Action
Rise of the Guardians,145000000,21025000000000000,306941670,97.0,7.1,2012,Fantasy
Fun with Dick and Jane,100000000,10000000000000000,202026112,90.0,5.9,2005,Comedy
The Last Samurai,140000000,19600000000000000,456758981,154.0,7.3,2003,Drama
Exodus: Gods and Kings,140000000,19600000000000000,268031828,150.0,5.6,2014,Adventure
Star Trek,150000000,22500000000000000,385680446,127.0,7.4,2009,Science Fiction
Spider-Man,139000000,19321000000000000,821708551,121.0,6.8,2002,Fantasy
How to Train Your Dragon 2,145000000,21025000000000000,609123048,102.0,7.6,2014,Fantasy
Gods of Egypt,140000000,19600000000000000,150680864,127.0,5.3,2016,Fantasy
Stealth,135000000,18225000000000000,76932943,121.0,4.9,2005,Action
Watchmen,130000000,16900000000000000,185258983,163.0,7.0,2009,Action
Lethal Weapon 4,140000000,19600000000000000,285444603,127.0,6.3,1998,Action
Hulk,137000000,18769000000000000,245360480,138.0,5.3,2003,Drama
G.I. Joe: Retaliation,130000000,16900000000000000,371876278,110.0,5.4,2013,Adventure
Sahara,130000000,16900000000000000,119269486,124.0,5.7,2005,Action
Final Fantasy: The Spirits Within,137000000,18769000000000000,85131830,106.0,5.9,2001,Adventure
Captain America: The First Avenger,140000000,19600000000000000,370569774,124.0,6.6,2011,Action
The World Is Not Enough,135000000,18225000000000000,361832400,128.0,6.0,1999,Adventure
Master and Commander: The Far Side of the World,150000000,22500000000000000,212011111,138.0,6.9,2003,Adventure
The Twilight Saga: Breaking Dawn - Part 2,120000000,14400000000000000,829000000,115.0,6.1,2012,Adventure
Happy Feet Two,130000000,16900000000000000,150406466,100.0,5.8,2011,Animation
The Incredible Hulk,150000000,22500000000000000,163712074,114.0,6.1,2008,Science Fiction
The BFG,140000000,19600000000000000,183345589,120.0,6.0,2016,Adventure
The Revenant,135000000,18225000000000000,532950503,156.0,7.3,2015,Western
Turbo,135000000,18225000000000000,282570682,96.0,6.1,2013,Animation
Rango,135000000,18225000000000000,245724603,107.0,6.6,2011,Animation
Penguins of Madagascar,132000000,17424000000000000,373552094,92.0,6.5,2014,Family
The Bourne Ultimatum,70000000,4900000000000000,442824138,115.0,7.3,2007,Action
Kung Fu Panda,130000000,16900000000000000,631744560,90.0,6.9,2008,Adventure
Ant-Man,130000000,16900000000000000,519311965,117.0,7.0,2015,Science Fiction
The Hunger Games: Catching Fire,130000000,16900000000000000,847423452,146.0,7.4,2013,Adventure
Home,135000000,18225000000000000,368871007,94.0,6.8,2015,Fantasy
War of the Worlds,132000000,17424000000000000,591739379,116.0,6.2,2005,Adventure
Bad Boys II,130000000,16900000000000000,273339556,147.0,6.3,2003,Adventure
Puss in Boots,130000000,16900000000000000,554987477,90.0,6.4,2011,Action
Salt,110000000,12100000000000000,293329073,100.0,6.2,2010,Action
Noah,125000000,15625000000000000,362637473,139.0,5.6,2014,Drama
The Adventures of Tintin,130000000,16900000000000000,371940071,107.0,6.7,2011,Adventure
Harry Potter and the Prisoner of Azkaban,130000000,16900000000000000,789804554,141.0,7.7,2004,Adventure
Australia,130000000,16900000000000000,49554002,165.0,6.3,2008,Drama
After Earth,130000000,16900000000000000,243843127,100.0,5.0,2013,Science Fiction
Dinosaur,127500000,16256250000000000,354248063,82.0,6.2,2000,Animation
Night at the Museum: Secret of the Tomb,127000000,16129000000000000,349424282,97.0,6.1,2014,Adventure
Megamind,130000000,16900000000000000,321887208,95.0,6.7,2010,Animation
Harry Potter and the Philosopher's Stone,125000000,15625000000000000,976475550,152.0,7.5,2001,Adventure
R.I.P.D.,130000000,16900000000000000,61648500,96.0,5.4,2013,Fantasy
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,19600000000000000,655011224,143.0,7.5,2003,Adventure
The Hunger Games: Mockingjay - Part 1,125000000,15625000000000000,752100229,123.0,6.6,2014,Science Fiction
The Da Vinci Code,125000000,15625000000000000,767820459,149.0,6.5,2006,Thriller
Rio 2,103000000,10609000000000000,500188435,102.0,6.3,2014,Animation
X2,110000000,12100000000000000,407711549,133.0,6.8,2003,Adventure
Fast Five,125000000,15625000000000000,626137675,130.0,7.1,2011,Action
Sherlock Holmes: A Game of Shadows,125000000,15625000000000000,334615000,129.0,7.0,2011,Adventure
Clash of the Titans,125000000,15625000000000000,232713139,106.0,5.6,2010,Adventure
Total Recall,65000000,4225000000000000,261317921,113.0,7.1,1990,Action
The 13th Warrior,160000000,25600000000000000,61698899,102.0,6.4,1999,Adventure
The Bourne Legacy,130000000,16900000000000000,276572938,120.0,6.0,2012,Action
Batman & Robin,125000000,15625000000000000,238207122,125.0,4.2,1997,Action
How the Grinch Stole Christmas,123000000,15129000000000000,345141403,104.0,6.2,2000,Family
The Day After Tomorrow,125000000,15625000000000000,544272402,124.0,6.2,2004,Action
Mission: Impossible II,125000000,15625000000000000,546388105,123.0,5.9,2000,Adventure
The Perfect Storm,120000000,14400000000000000,325756637,130.0,6.2,2000,Drama
Fantastic 4: Rise of the Silver Surfer,130000000,16900000000000000,289047763,92.0,5.4,2007,Adventure
Life of Pi,120000000,14400000000000000,609016565,127.0,7.2,2012,Adventure
Ghost Rider,110000000,12100000000000000,228738393,114.0,5.2,2007,Thriller
Jason Bourne,120000000,14400000000000000,415484914,123.0,5.9,2016,Action
Charlie's Angels: Full Throttle,120000000,14400000000000000,259175788,106.0,5.2,2003,Action
Prometheus,130000000,16900000000000000,403170142,124.0,6.3,2012,Science Fiction
Stuart Little 2,120000000,14400000000000000,169956806,78.0,5.4,2002,Family
Elysium,115000000,13225000000000000,286140700,109.0,6.4,2013,Science Fiction
The Chronicles of Riddick,105000000,11025000000000000,115772733,119.0,6.3,2004,Action
RoboCop,120000000,14400000000000000,242688965,102.0,5.7,2014,Action
Speed Racer,120000000,14400000000000000,93945766,135.0,5.7,2008,Action
How Do You Know,120000000,14400000000000000,48668907,121.0,4.9,2010,Comedy
Knight and Day,117000000,13689000000000000,261930431,109.0,5.9,2010,Action
Oblivion,120000000,14400000000000000,286168572,124.0,6.4,2013,Action
Star Wars: Episode III - Revenge of the Sith,113000000,12769000000000000,850000000,140.0,7.1,2005,Science Fiction
Star Wars: Episode II - Attack of the Clones,120000000,14400000000000000,649398328,142.0,6.4,2002,Adventure
"Monsters, Inc.",115000000,13225000000000000,562816256,92.0,7.5,2001,Animation
The Wolverine,120000000,14400000000000000,415440673,126.0,6.3,2013,Action
Star Wars: Episode I - The Phantom Menace,115000000,13225000000000000,924317558,136.0,6.3,1999,Adventure
The Croods,135000000,18225000000000000,585178928,98.0,6.8,2013,Adventure
Asterix at the Olympic Games,97250400,9457640300160000,132900000,116.0,5.0,2008,Fantasy
Windtalkers,115000000,13225000000000000,77628265,134.0,5.8,2002,Drama
The Huntsman: Winter's War,115000000,13225000000000000,164602163,114.0,6.0,2016,Action
Teenage Mutant Ninja Turtles,125000000,15625000000000000,477200000,101.0,5.8,2014,Science Fiction
Gravity,105000000,11025000000000000,716392705,91.0,7.3,2013,Science Fiction
Dante's Peak,116000000,13456000000000000,178127760,108.0,5.7,1997,Action
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,18225000000000000,245623848,112.0,5.8,2016,Fantasy
Fantastic Four,120000000,14400000000000000,167977596,100.0,4.4,2015,Action
Night at the Museum,110000000,12100000000000000,574480841,108.0,6.3,2006,Action
San Andreas,110000000,12100000000000000,470490832,114.0,6.0,2015,Action
Tomorrow Never Dies,110000000,12100000000000000,333011068,119.0,6.0,1997,Adventure
The Patriot,110000000,12100000000000000,215294342,165.0,6.8,2000,Drama
Ocean's Twelve,110000000,12100000000000000,362744280,125.0,6.4,2004,Thriller
Mr. & Mrs. Smith,110000000,12100000000000000,478207520,120.0,6.5,2005,Action
Insurgent,110000000,12100000000000000,295238201,119.0,6.2,2015,Adventure
The Aviator,116000000,13456000000000000,102000000,170.0,7.0,2004,Drama
Gulliver's Travels,112000000,12544000000000000,237382724,85.0,4.9,2010,Comedy
The Green Hornet,120000000,14400000000000000,227817248,119.0,5.5,2011,Action
300: Rise of an Empire,110000000,12100000000000000,337580051,102.0,6.1,2014,Action
The Smurfs,110000000,12100000000000000,563749323,103.0,5.5,2011,Animation
Home on the Range,110000000,12100000000000000,103951461,76.0,5.7,2004,Animation
Allegiant,110000000,12100000000000000,179246868,121.0,5.9,2016,Adventure
Real Steel,110000000,12100000000000000,299268508,127.0,6.6,2011,Action
The Smurfs 2,105000000,11025000000000000,347434178,105.0,5.5,2013,Fantasy
Speed 2: Cruise Control,160000000,25600000000000000,164508066,121.0,4.1,1997,Action
Ender's Game,110000000,12100000000000000,125537191,114.0,6.6,2013,Science Fiction
Live Free or Die Hard,110000000,12100000000000000,383531464,128.0,6.4,2007,Action
The Lord of the Rings: The Fellowship of the Ring,93000000,8649000000000000,871368364,178.0,8.0,2001,Adventure
Around the World in 80 Days,110000000,12100000000000000,72178895,120.0,5.7,2004,Action
Ali,107000000,11449000000000000,87713825,157.0,6.7,2001,Drama
"I, Robot",120000000,14400000000000000,347234916,115.0,6.7,2004,Action
Kingdom of Heaven,130000000,16900000000000000,211643158,144.0,6.6,2005,Drama
Stuart Little,133000000,17689000000000000,300135367,84.0,5.8,1999,Animation
The Princess and the Frog,105000000,11025000000000000,267045765,97.0,6.7,2009,Romance
The Martian,108000000,11664000000000000,630161890,141.0,7.6,2015,Drama
The Island,126000000,15876000000000000,162949164,136.0,6.5,2005,Action
Town & Country,90000000,8100000000000000,10372291,104.0,3.7,2001,Comedy
Gone in Sixty Seconds,90000000,8100000000000000,237202299,118.0,6.1,2000,Action
Gladiator,103000000,10609000000000000,457640427,155.0,7.9,2000,Action
Minority Report,102000000,10404000000000000,358372926,145.0,7.1,2002,Action
Harry Potter and the Chamber of Secrets,100000000,10000000000000000,876688482,161.0,7.4,2002,Adventure
Casino Royale,150000000,22500000000000000,599045960,144.0,7.3,2006,Adventure
Planet of the Apes,100000000,10000000000000000,362211740,119.0,5.6,2001,Thriller
Terminator 2: Judgment Day,100000000,10000000000000000,520000000,137.0,7.7,1991,Action
Public Enemies,80000000,6400000000000000,214104620,140.0,6.5,2009,History
American Gangster,100000000,10000000000000000,266465037,157.0,7.4,2007,Drama
True Lies,115000000,13225000000000000,378882411,141.0,6.8,1994,Action
The Taking of Pelham 1 2 3,100000000,10000000000000000,150166126,106.0,6.2,2009,Thriller
Little Fockers,100000000,10000000000000000,310650585,98.0,5.4,2010,Comedy
The Other Guys,100000000,10000000000000000,170432927,107.0,6.1,2010,Action
Eraser,100000000,10000000000000000,242295562,115.0,5.6,1996,Action
Django Unchained,100000000,10000000000000000,425368238,165.0,7.8,2012,Drama
The Hunchback of Notre Dame,100000000,10000000000000000,100138851,91.0,6.8,1996,Drama
The Emperor's New Groove,100000000,10000000000000000,169327687,78.0,7.2,2000,Adventure
The Expendables 2,100000000,10000000000000000,312573423,103.0,6.1,2012,Action
National Treasure,100000000,10000000000000000,347451894,131.0,6.4,2004,Adventure
Eragon,100000000,10000000000000000,249288105,104.0,4.9,2006,Fantasy
Where the Wild Things Are,100000000,10000000000000000,100086793,101.0,6.4,2009,Family
Epic,100000000,10000000000000000,268426634,102.0,6.4,2013,Animation
The Tourist,100000000,10000000000000000,278731369,103.0,6.0,2010,Action
End of Days,100000000,10000000000000000,211989043,121.0,5.5,1999,Action
Blood Diamond,100000000,10000000000000000,170877916,143.0,7.3,2006,Drama
The Wolf of Wall Street,100000000,10000000000000000,392000694,180.0,7.9,2013,Crime
Batman Forever,100000000,10000000000000000,336529144,121.0,5.2,1995,Action
Starship Troopers,105000000,11025000000000000,121214377,129.0,6.7,1997,Adventure
Cloud Atlas,102000000,10404000000000000,130482868,172.0,6.6,2012,Drama
Legend of the Guardians: The Owls of Ga'Hoole,80000000,6400000000000000,140073390,97.0,6.5,2010,Animation
Catwoman,100000000,10000000000000000,82102379,104.0,4.2,2004,Action
Hercules,100000000,10000000000000000,243400000,99.0,5.6,2014,Action
Treasure Planet,140000000,19600000000000000,109578115,95.0,7.2,2002,Adventure
Land of the Lost,100000000,10000000000000000,68688831,102.0,5.3,2009,Adventure
The Expendables 3,90000000,8100000000000000,206172544,127.0,6.1,2014,Action
Point Break,105000000,11025000000000000,133718711,114.0,5.5,2015,Action
In the Heart of the Sea,100000000,10000000000000000,93820758,122.0,6.5,2015,Thriller
The Adventures of Pluto Nash,100000000,10000000000000000,7103973,95.0,4.4,2002,Action
Green Zone,100000000,10000000000000000,94882889,115.0,6.4,2010,War
The Peanuts Movie,99000000,9801000000000000,246233113,88.0,6.5,2015,Animation
The Spanish Prisoner,10000000,100000000000000,13835130,110.0,7.1,1997,Crime
The Mummy Returns,98000000,9604000000000000,433013274,130.0,6.0,2001,Adventure
Gangs of New York,100000000,10000000000000000,193772504,167.0,7.1,2002,Drama
The Flowers of War,94000000,8836000000000000,95311434,145.0,7.1,2011,Drama
Surf's Up,85000000,7225000000000000,149044513,85.0,5.9,2007,Animation
The Stepford Wives,90000000,8100000000000000,102000000,93.0,5.4,2004,Action
Black Hawk Down,92000000,8464000000000000,172989651,144.0,7.2,2001,Action
The Fifth Element,90000000,8100000000000000,263920180,126.0,7.3,1997,Adventure
Sex and the City 2,100000000,10000000000000000,288347692,146.0,5.4,2010,Comedy
The Road to El Dorado,95000000,9025000000000000,76432727,89.0,7.0,2000,Adventure
Ice Age: Continental Drift,95000000,9025000000000000,877244782,88.0,6.2,2012,Animation
Cinderella,95000000,9025000000000000,543514353,105.0,6.7,2015,Romance
The Lovely Bones,65000000,4225000000000000,93525586,136.0,6.6,2009,Fantasy
Finding Nemo,94000000,8836000000000000,940335536,100.0,7.6,2003,Animation
The Lord of the Rings: The Return of the King,94000000,8836000000000000,1118888979,201.0,8.1,2003,Adventure
The Lord of the Rings: The Two Towers,79000000,6241000000000000,926287400,179.0,8.0,2002,Adventure
Seventh Son,95000000,9025000000000000,114178613,102.0,5.2,2014,Adventure
Lara Croft: Tomb Raider,115000000,13225000000000000,274703340,100.0,5.7,2001,Adventure
Transcendence,100000000,10000000000000000,103039258,119.0,5.9,2014,Thriller
Jurassic Park III,93000000,8649000000000000,368780809,92.0,5.7,2001,Adventure
Rise of the Planet of the Apes,93000000,8649000000000000,482860185,105.0,7.0,2011,Thriller
The Spiderwick Chronicles,90000000,8100000000000000,162839667,95.0,6.3,2008,Adventure
A Good Day to Die Hard,92000000,8464000000000000,304654182,98.0,5.2,2013,Action
The Alamo,145000000,21025000000000000,25819961,137.0,5.8,2004,Western
The Incredibles,92000000,8464000000000000,631442092,115.0,7.4,2004,Action
Cutthroat Island,98000000,9604000000000000,10017322,119.0,5.7,1995,Action
Percy Jackson & the Olympians: The Lightning Thief,95000000,9025000000000000,226497209,118.0,6.0,2010,Adventure
Men in Black,90000000,8100000000000000,589390539,98.0,6.9,1997,Action
Toy Story 2,90000000,8100000000000000,497366869,92.0,7.3,1999,Animation
Unstoppable,100000000,10000000000000000,167805466,98.0,6.3,2010,Action
Rush Hour 2,90000000,8100000000000000,347325802,90.0,6.4,2001,Action
What Lies Beneath,100000000,10000000000000000,155464351,130.0,6.3,2000,Drama
Cloudy with a Chance of Meatballs,100000000,10000000000000000,242988466,90.0,6.5,2009,Animation
Ice Age: Dawn of the Dinosaurs,90000000,8100000000000000,886686817,94.0,6.5,2009,Animation
The Secret Life of Walter Mitty,90000000,8100000000000000,188133322,114.0,7.0,2013,Adventure
Charlie's Angels,92000000,8464000000000000,264105545,98.0,5.6,2000,Action
